origin_iata,destination_iata,flight_type,airlines,departure_time,arrival_time,duration_hours,number_of_flights_per_day,min_price,avg_price,emissions_co2,aircraft_types,number_of_stops,layover_details,notes
HKT,MAA,One way,Etihad | Akasa Air,03:20,15:05,13.25,5,721,721,,Airbus A321neo | Boeing 737MAX 8 Passenger,1,AUH (130m),Found on 2026-04-16
HKT,MAD,One way,Etihad,09:25,19:40,15.25,4,575,586.25,,Boeing 787-10 | Boeing 787,1,AUH (80m),Found on 2026-04-16
HKT,MCT,One way,Etihad,15:20,22:00,9.67,5,453,560.8,,Airbus A321neo | Airbus A320,1,AUH (105m),Found on 2026-04-16
HKT,MLE,One way,Etihad,03:20,13:45,12.42,4,721,723.5,,Airbus A321neo | Boeing 787-10,1,AUH (105m),Found on 2026-04-16
HKT,MUC,One way,Etihad,21:20,06:55,14.58,2,513,531,,Boeing 787-10 | Boeing 787,1,AUH (115m),Found on 2026-04-16
HKT,MXP,One way,Etihad,09:25,18:50,14.42,3,456,470.67,,Boeing 787-10,1,AUH (95m),Found on 2026-04-16
HKT,NBO,One way,Etihad,03:20,12:30,13.17,3,1068,1068,,Airbus A321neo | Airbus A320,1,AUH (95m),Found on 2026-04-16
HKT,NCE,One way,Etihad | Brussels Airlines,21:20,12:55,20.58,5,840,1016,,Boeing 787-10 | Airbus A319,2,AUH (85m) | BRU (240m),Found on 2026-04-16
HKT,ORD,One way,Etihad,21:20,08:35,23.25,1,1121,1121,,Boeing 787-10 | Airbus A350,1,AUH (135m),Found on 2026-04-16
HKT,PEW,One way,Etihad,21:20,06:50,11.5,1,502,502,,Boeing 787-10 | Airbus A320,1,AUH (125m),Found on 2026-04-16
HKT,PRG,One way,Etihad,21:20,07:05,14.75,2,590,3799,,Boeing 787-10 | Boeing 787,1,AUH (130m),Found on 2026-04-16
HKT,RUH,One way,Etihad,03:20,08:40,9.33,8,733,1002.5,,Airbus A321neo | Boeing 787,1,AUH (70m),Found on 2026-04-16
HKT,SEZ,One way,Etihad | Air Seychelles,03:20,12:20,12.0,4,1059,2728.75,,Airbus A321neo | Airbus A320neo,1,AUH (60m),Found on 2026-04-16
HKT,SVO,One way,Etihad,09:25,19:20,13.92,5,544,808.6,,Boeing 787-10,1,AUH (95m),Found on 2026-04-16
HKT,TRV,One way,Etihad,09:25,20:15,12.33,3,731,731,,Boeing 787-10 | Airbus A320,1,AUH (100m),Found on 2026-04-16
HKT,TUN,One way,Etihad,21:20,06:25,39.08,3,782,2491.33,,Boeing 787-10 | Airbus A321neo,1,AUH (1575m),Found on 2026-04-16
HKT,VIE,One way,Etihad,15:20,06:40,20.33,2,503,516.5,,Airbus A321neo | Boeing 777,1,AUH (460m),Found on 2026-04-16
HKT,WAW,One way,Etihad,21:20,07:00,14.67,1,558,558,,Boeing 787-10 | Boeing 787,1,AUH (140m),Found on 2026-04-16
HKT,YYZ,One way,Etihad,21:20,08:55,22.58,1,1182,1182,,Boeing 787-10 | Airbus A380,1,AUH (110m),Found on 2026-04-16
HKT,ZRH,One way,Etihad,03:20,13:20,15.0,4,522,665,,Airbus A321neo,1,AUH (105m),Found on 2026-04-16
HKT,KRK,One way,Etihad | Lufthansa,09:25,23:50,19.42,3,691,719,,Boeing 787-10 | Airbus A320,2,AUH (75m) | FRA (210m),Found on 2026-04-16
HKT,MED,One way,Bangkok Airways | Etihad,21:55,10:20,40.42,8,998,4508,,Airbus A319 | Boeing 777 | Airbus A321,2,BKK (585m) | AUH (1210m),Found on 2026-04-16
HKT,PMI,One way,Etihad | Air Europa,09:25,22:45,18.33,2,625,625,,Boeing 787-10 | Boeing 787 | Boeing 737,2,AUH (80m) | BCN (165m),Found on 2026-04-16
HKT,SLL,One way,Etihad | Air Arabia,21:20,09:50,15.5,2,822,885,,Boeing 787-10 | Airbus A320,1,AUH (440m),Found on 2026-04-16
HKT,TLV,One way,Etihad,09:25,16:50,11.42,5,1075,1406.6,,Boeing 787-10 | Airbus A321,1,AUH (100m),Found on 2026-04-16
HKT,YYC,One way,Cathay Pacific | WestJet,11:50,11:10,36.33,14,971,1470.29,,Airbus A321neo | Boeing 777 | Boeing 737,2,HKG (435m) | LAX (540m),Found on 2026-04-18 (Round 2)
HKT,ZNZ,One way,Etihad | Ethiopian,21:20,11:00,17.67,1,1275,1275,,Boeing 787-10 | Boeing 737MAX 8 Passenger | Airbus A350,2,AUH (225m) | ADD (40m),Found on 2026-04-16
HKT,TAS,One way,Bangkok Airways | Etihad | Air Arabia,21:55,13:20,41.42,2,1319,1319,,Airbus A319 | Boeing 777 | Airbus A320,2,BKK (585m) | AUH (1215m),Found on 2026-04-16
HKT,KZN,One way,Etihad,03:20,12:35,13.25,2,445,747.5,,Airbus A321neo | Airbus A320,1,AUH (95m),Found on 2026-04-16
HKT,OTP,One way,Etihad | Air Serbia,03:20,03:05,27.75,1,6659,6659,,Airbus A321neo | Airbus A319 | ATR 42/72,3,AUH (95m) | ATH (180m) | BEG (505m),Found on 2026-04-17
HKT,DAM,One way,Bangkok Airways | Royal Jordanian,19:10,07:40,16.5,3,1895,1946.67,,Airbus A320 | Boeing 787 | Airbus A320neo,2,BKK (205m) | AMM (75m),Found on 2026-04-18 (Round 2)
HKT,KBL,One way,Etihad,09:25,18:15,11.33,4,733,1088,,Boeing 787-10 | Airbus A320,1,AUH (120m),Found on 2026-04-16
HKT,LUX,One way,Etihad | SWISS,03:20,18:40,20.33,14,800,1548.14,,Airbus A321neo | Airbus A220-300 Passenger,2,AUH (105m) | ZRH (265m),Found on 2026-04-18 (Round 2)
HYD,AUH,One way,Etihad,04:30,06:40,3.67,2,189,358.5,,Boeing 787,0,Direct,Found on 2026-04-16
HYD,ATL,One way,Etihad,04:30,16:30,21.5,2,546,584.5,,Boeing 787 | Airbus A350,1,AUH (160m),Found on 2026-04-16
HYD,CLT,One way,Etihad,21:20,10:45,22.92,1,529,529,,Boeing 787,1,AUH (240m),Found on 2026-04-16
HYD,FRA,One way,Etihad,04:30,18:45,17.75,2,273,409,,Boeing 787 | Boeing 787-10,1,AUH (440m),Found on 2026-04-16
HYD,ZRH,One way,Etihad,04:30,13:20,12.33,2,349,421,,Boeing 787 | Airbus A321neo,1,AUH (110m),Found on 2026-04-16
HYD,ADD,One way,Etihad,04:30,12:30,10.5,4,300,744,,Boeing 787 | Airbus A320,1,AUH (135m),Found on 2026-04-16
HYD,AER,One way,Etihad,04:30,18:10,16.17,2,386,670.5,,Boeing 787 | Airbus A320,1,AUH (495m),Found on 2026-04-16
HYD,AGP,One way,IndiGo | Qatar Airways,15:40,14:35,26.42,8,480,2587.25,,Airbus A321 | Airbus A350,1,DOH (845m),Found on 2026-04-18 (Round 2)
HYD,AMM,One way,Etihad,04:30,11:00,9.0,2,417,501.5,,Boeing 787 | Airbus A320,1,AUH (125m),Found on 2026-04-16
HYD,AMS,One way,Etihad,04:30,19:10,18.17,2,253,378.5,,Boeing 787 | Airbus A350,1,AUH (445m),Found on 2026-04-16
HYD,ATH,One way,Etihad,21:20,12:35,17.75,3,596,910.67,,Boeing 787 | Airbus A321neo,1,AUH (525m),Found on 2026-04-16
HYD,BAH,One way,Etihad,04:30,20:45,18.75,4,457,1494.5,,Boeing 787 | Airbus A320,1,AUH (835m),Found on 2026-04-16
HYD,BCN,One way,Etihad,04:30,19:15,18.25,2,340,386.5,,Boeing 787,1,AUH (445m),Found on 2026-04-16
HYD,BEY,One way,Etihad,21:20,11:05,16.25,1,624,624,,Boeing 787 | Airbus A320,1,AUH (540m),Found on 2026-04-16
HYD,BKK,One way,Etihad,04:30,18:10,12.17,2,1099,1099,,Boeing 787 | Boeing 777,1,AUH (115m),Found on 2026-04-16
HYD,BOS,One way,Etihad,04:30,14:40,19.67,2,443,468,,Boeing 787,1,AUH (140m),Found on 2026-04-16
HYD,BRU,One way,Etihad,04:30,07:05,30.08,3,449,3906,,Boeing 787 | Boeing 787-10,1,AUH (1165m),Found on 2026-04-16
HYD,CAI,One way,Etihad,04:30,12:10,11.17,4,382,1204.5,,Boeing 787 | Airbus A321,1,AUH (225m),Found on 2026-04-16
HYD,CDG,One way,Etihad,04:30,19:30,18.5,2,249,354.5,,Boeing 787,1,AUH (460m),Found on 2026-04-16
HYD,CGK,One way,Etihad,04:30,20:35,14.58,2,1097,1097,,Boeing 787,1,AUH (135m),Found on 2026-04-16
HYD,CMN,One way,Etihad,04:30,07:20,31.33,2,437,557.5,,Boeing 787,1,AUH (1165m),Found on 2026-04-16
HYD,CNX,One way,Etihad,04:30,06:25,24.42,2,1099,2076,,Boeing 787 | Airbus A321neo,1,AUH (860m),Found on 2026-04-16
HYD,CPH,One way,Etihad,04:30,07:10,30.17,4,247,783.75,,Boeing 787,1,AUH (1185m),Found on 2026-04-16
HYD,DBB,,,,,,,,,,,,,No Etihad flights found within 1 day window (Attempted 60 days out)
HYD,DMM,One way,Etihad,04:30,09:10,7.17,2,471,526,,Boeing 787 | Airbus A321neo,1,AUH (125m),Found on 2026-04-16
HYD,DOH,One way,Etihad,04:30,09:30,7.5,2,454,500.5,,Boeing 787 | Airbus A320,1,AUH (165m),Found on 2026-04-16
HYD,DPS,One way,Etihad,04:30,11:25,28.42,3,1097,1951.67,,Boeing 787 | Boeing 777,1,AUH (910m),Found on 2026-04-16
HYD,DUB,One way,Etihad,04:30,19:05,19.08,2,334,416,,Boeing 787,1,AUH (440m),Found on 2026-04-16
HYD,DUS,One way,Etihad,04:30,07:35,30.58,2,340,424.5,,Boeing 787 | Airbus A321neo,1,AUH (1180m),Found on 2026-04-16
HYD,ELQ,One way,Etihad,21:20,09:00,14.17,2,541,1301,,Boeing 787 | Airbus A320,1,AUH (500m),Found on 2026-04-16
HYD,FCO,One way,Etihad,04:30,18:20,17.33,2,290,395,,Boeing 787,1,AUH (450m),Found on 2026-04-16
HYD,GVA,One way,Etihad,04:30,07:10,30.17,3,382,475.33,,Boeing 787,1,AUH (1185m),Found on 2026-04-16
HYD,HAN,One way,Etihad,04:30,18:45,12.75,2,1097,1097,,Boeing 787,1,AUH (150m),Found on 2026-04-16
HYD,HKG,One way,Etihad,04:30,09:00,26.0,2,1072,1072,,Boeing 787,1,AUH (870m),Found on 2026-04-16
HYD,HKT,One way,Etihad,04:30,18:20,12.33,2,1099,1099,,Boeing 787 | Boeing 787-10,1,AUH (115m),Found on 2026-04-16
HYD,IAD,One way,Etihad,21:20,09:45,21.92,1,481,481,,Boeing 787,1,AUH (220m),Found on 2026-04-16
HYD,ICN,One way,Etihad,04:30,10:50,26.83,2,1093,1093,,Boeing 787,1,AUH (870m),Found on 2026-04-16
HYD,IST,One way,Etihad,04:30,12:35,10.58,4,324,956.75,,Boeing 787 | Airbus A321,1,AUH (120m),Found on 2026-04-16
HYD,JED,One way,Etihad,04:30,10:25,8.42,4,456,812.5,,Boeing 787 | Airbus A321,1,AUH (110m),Found on 2026-04-16
HYD,JFK,One way,Etihad,04:30,16:00,21.0,2,438,465,,Boeing 787,1,AUH (180m),Found on 2026-04-16
HYD,JMK,One way,Etihad | SKY express,21:20,08:20,37.5,2,704,793.5,,Boeing 787 | Airbus A321neo | ATR 42/72,2,AUH (525m) | ATH (1140m),Found on 2026-04-16
HYD,JNB,One way,Etihad,21:20,08:15,14.42,3,458,1646.33,,Boeing 787,1,AUH (150m),Found on 2026-04-16
HYD,JTR,One way,Etihad | SKY express,21:20,07:55,37.08,3,704,885,,Boeing 787 | Airbus A321neo | Airbus A320neo,2,AUH (525m) | ATH (1115m),Found on 2026-04-16
HYD,KBV,One way,Etihad,04:30,18:20,12.33,2,1099,1332,,Boeing 787 | Airbus A321neo,1,AUH (120m),Found on 2026-04-16
HYD,KIX,One way,Etihad,04:30,11:50,27.83,2,1018,2832.5,,Boeing 787,1,AUH (870m),Found on 2026-04-16
HYD,KNO,One way,Etihad,04:30,07:05,25.08,1,1097,1097,,Boeing 787 | Airbus A321neo,1,AUH (855m),Found on 2026-04-16
HYD,KUL,One way,Etihad,04:30,19:45,12.75,2,1097,1097,,Boeing 787,1,AUH (105m),Found on 2026-04-16
HYD,KWI,One way,Etihad,04:30,09:15,7.25,2,199,397,,Boeing 787 | Airbus A320,1,AUH (110m),Found on 2026-04-16
HYD,LED,One way,Etihad,21:20,08:35,37.75,1,3501,3501,,Boeing 787 | Airbus A321neo,1,AUH (1640m),Found on 2026-04-16
HYD,LHR,One way,Etihad,04:30,12:45,12.75,2,245,372,,Boeing 787 | Boeing 787-10,1,AUH (90m),Found on 2026-04-16
HYD,LIS,One way,Etihad | Brussels Airlines,21:20,11:10,18.33,1,1445,1445,,Boeing 787 | Boeing 787-10 | Airbus A320neo,2,AUH (150m) | BRU (130m),Found on 2026-04-16
HYD,MAD,One way,Etihad,04:30,19:40,18.67,3,338,463,,Boeing 787,1,AUH (445m),Found on 2026-04-16
HYD,MAN,One way,Etihad,04:30,13:00,13.0,2,329,386.5,,Boeing 787,1,AUH (100m),Found on 2026-04-16
HYD,MCT,One way,Etihad,04:30,10:40,7.67,2,459,495.5,,Boeing 787 | Airbus A320,1,AUH (165m),Found on 2026-04-16
HYD,MEL,One way,Etihad,04:30,15:50,30.83,2,464,478,,Boeing 787,1,AUH (840m),Found on 2026-04-16
HYD,MNL,One way,Etihad,04:30,22:00,15.0,2,1097,1455.5,,Boeing 787,1,AUH (140m),Found on 2026-04-16
HYD,MUC,One way,Etihad,04:30,06:55,29.92,3,324,389.67,,Boeing 787,1,AUH (1195m),Found on 2026-04-16
HYD,MXP,One way,Etihad,04:30,18:50,17.83,2,259,397,,Boeing 787 | Boeing 787-10,1,AUH (460m),Found on 2026-04-16
HYD,NBO,One way,Etihad,04:30,12:30,10.5,2,427,454.5,,Boeing 787 | Airbus A320,1,AUH (100m),Found on 2026-04-16
HYD,NCE,One way,Etihad | ITA,21:20,10:30,16.67,3,955,1064,,Boeing 787 | Airbus A220-300 Passenger,2,AUH (160m) | FCO (170m),Found on 2026-04-16
HYD,NRT,One way,Etihad,04:30,12:35,28.58,2,1093,1093,,Boeing 787 | Airbus A350,1,AUH (885m),Found on 2026-04-16
HYD,ORD,One way,Etihad,04:30,08:35,38.58,2,426,453.5,,Boeing 787 | Airbus A350,1,AUH (1215m),Found on 2026-04-16
HYD,PKX,One way,Etihad,04:30,09:00,26.0,2,1111,1111,,Boeing 787,1,AUH (850m),Found on 2026-04-16
HYD,KTI,One way,Etihad,04:30,19:10,13.17,1,1097,1097,,Boeing 787 | Airbus A321neo,1,AUH (120m),Found on 2026-04-16
HYD,PRG,One way,Etihad,04:30,07:05,30.08,3,360,1639,,Boeing 787,1,AUH (1210m),Found on 2026-04-16
HYD,PVG,One way,Etihad | China Eastern,04:30,12:55,29.92,2,1109,1374.5,,Boeing 787 | Airbus A330,1,AUH (1000m),Found on 2026-04-16
HYD,RUH,One way,Etihad,04:30,08:40,6.67,2,541,541,,Boeing 787,1,AUH (75m),Found on 2026-04-16
HYD,SEZ,One way,Etihad | Air Seychelles,04:30,12:20,9.33,3,297,1735.33,,Boeing 787 | Airbus A320neo,1,AUH (65m),Found on 2026-04-16
HYD,SIN,One way,Etihad,04:30,09:40,26.67,2,1097,1097,,Boeing 787 | Airbus A380,1,AUH (900m),Found on 2026-04-16
HYD,SVO,One way,Etihad,04:30,07:35,29.58,3,316,372,,Boeing 787 | Boeing 787-10,1,AUH (1210m),Found on 2026-04-16
HYD,SYD,One way,Etihad,04:30,06:10,21.17,2,440,454,,Boeing 787 | Airbus A350,1,AUH (225m),Found on 2026-04-16
HYD,TPE,One way,Etihad,04:30,10:00,27.0,1,1072,1072,,Boeing 787,1,AUH (880m),Found on 2026-04-16
HYD,TUN,One way,Etihad | Saudia,21:20,09:40,16.83,2,2443,2443,,Boeing 787 | Airbus A320 | Airbus A330,2,AUH (150m) | JED (185m),Found on 2026-04-16
HYD,VIE,One way,Etihad,04:30,06:40,29.67,2,308,390.5,,Boeing 787 | Boeing 777,1,AUH (1200m),Found on 2026-04-16
HYD,WAW,One way,Etihad,04:30,07:00,30.0,2,340,436,,Boeing 787,1,AUH (1220m),Found on 2026-04-16
HYD,YYZ,One way,Etihad,21:20,08:55,21.08,1,531,531,,Boeing 787 | Airbus A380,1,AUH (175m),Found on 2026-04-16
HYD,TLV,One way,Etihad,04:30,16:50,14.83,3,1061,1096,,Boeing 787 | Airbus A321,1,AUH (465m),Found on 2026-04-16
HYD,YYC,One way,IndiGo | Qatar Airways | Alaska,04:25,18:10,25.25,15,755,1511.27,,Airbus A321 | Boeing 777 | Embraer 175,2,DOH (125m) | SEA (170m),Found on 2026-04-18 (Round 2)
HYD,ZNZ,One way,Etihad | Ethiopian,04:30,11:00,33.0,4,521,1734.5,,Boeing 787 | Airbus A320 | Airbus A350,2,AUH (135m) | ADD (1195m),Found on 2026-04-16
HYD,KRK,One way,Etihad | Lufthansa,04:30,23:50,22.83,4,745,1856.25,,Boeing 787 | Boeing 787-10 | Airbus A320,2,AUH (440m) | FRA (210m),Found on 2026-04-16
HYD,LUX,One way,Etihad | SWISS,21:20,09:30,15.67,22,567,1090.86,,Boeing 787-10 | Boeing 787 | Airbus A220-300 Passenger,2,AUH (160m) | ZRH (100m),Found on 2026-04-18 (Round 2)
HYD,MED,One way,Etihad | Flynas,04:30,20:30,18.5,5,2516,2524.4,,Boeing 787 | Airbus A321neo | Airbus A320,2,AUH (125m) | DMM (560m),Found on 2026-04-16
HYD,OTP,One way,Etihad | Air Serbia,21:20,15:20,20.5,1,3967,3967,,Boeing 787 | ATR 42/72 | Embraer RJ-170/190,3,AUH (185m) | VIE (175m) | BEG (135m),Found on 2026-05-18 (Round 2)
HYD,PMI,One way,Etihad | Air Europa,21:20,09:25,15.58,1,1085,1085,,Boeing 787 | Boeing 787-10 | Boeing 737,2,AUH (175m) | BCN (65m),Found on 2026-04-16
HYD,SLL,One way,Etihad | Oman Air,04:30,21:15,18.25,6,468,896,,Boeing 787 | Airbus A320 | Boeing 737,2,AUH (165m) | MCT (540m),Found on 2026-04-16
HYD,TAS,One way,Etihad | Air Arabia,21:20,13:20,16.5,1,1768,1768,,Airbus A321 | Airbus A320,1,AUH (555m),Found on 2026-04-17
HYD,KZN,One way,Etihad,04:30,12:35,10.58,1,336,336,,Boeing 787 | Airbus A320,1,AUH (100m),Found on 2026-04-16
HYD,DAM,One way,IndiGo | Turkish Airlines,23:50,09:25,36.08,2,728,1088.5,,Airbus A321 | Airbus A330 | Boeing 777,2,DEL (250m) | IST (1225m),Found on 2026-04-18 (Round 2)
HYD,KBL,One way,Etihad,04:30,18:15,14.75,1,808,808,,Boeing 787-10 | Airbus A320,1,AUH (485m),Found on 2026-04-17
IAD,AUH,One way,Etihad,15:10,12:15,13.08,1,736,736,,Boeing 787,0,Direct,Found on 2026-04-16
IAD,BKK,One way,Etihad,15:10,23:50,21.67,1,452,452,,Boeing 787 | Boeing 787-10,1,AUH (120m),Found on 2026-04-16
IAD,DEL,One way,Etihad,15:10,19:20,18.67,1,393,393,,Boeing 787,1,AUH (115m),Found on 2026-04-16
IAD,DPS,One way,Etihad,15:10,11:25,32.25,1,571,571,,Boeing 787 | Boeing 777,1,AUH (575m),Found on 2026-04-16
IAD,SIN,One way,Etihad,15:10,09:40,30.5,1,516,516,,Boeing 787 | Airbus A380,1,AUH (565m),Found on 2026-04-16
IAD,ADD,One way,Etihad | Ethiopian,15:10,07:45,33.58,2,619,619,,Boeing 787 | Boeing 737MAX 8 Passenger,1,AUH (970m),Found on 2026-04-16
IAD,AER,One way,Etihad,15:10,18:10,20.0,1,1712,1712,,Boeing 787 | Airbus A320,1,AUH (160m),Found on 2026-04-16
IAD,AMD,One way,Etihad,15:10,18:35,17.92,2,451,1240.5,,Boeing 787 | Airbus A321,1,AUH (110m),Found on 2026-04-16
IAD,AMM,One way,Etihad,15:10,23:35,25.42,1,443,443,,Boeing 787 | Airbus A320,1,AUH (545m),Found on 2026-04-16
IAD,BAH,One way,Etihad,15:10,20:45,22.58,3,368,613.67,,Boeing 787 | Airbus A320,1,AUH (500m),Found on 2026-04-16
IAD,BEY,One way,Etihad,15:10,05:25,31.25,1,474,474,,Boeing 787 | Airbus A320,1,AUH (880m),Found on 2026-04-16
IAD,BLR,One way,Etihad | Akasa Air,15:10,08:45,32.08,2,362,367,,Boeing 787 | Boeing 737MAX 8 Passenger,1,AUH (885m),Found on 2026-04-16
IAD,BOM,One way,Etihad | Akasa Air,15:10,19:45,19.08,3,331,336,,Boeing 787 | Boeing 737MAX 8 Passenger,1,AUH (155m),Found on 2026-04-16
IAD,CAI,One way,Etihad,15:10,04:25,31.25,2,409,649.5,,Boeing 787 | Airbus A321neo,1,AUH (865m),Found on 2026-04-16
IAD,CCJ,One way,Etihad,15:10,02:55,26.25,2,467,1095,,Boeing 787 | Airbus A321,1,AUH (545m),Found on 2026-04-16
IAD,CCU,One way,Etihad,15:10,20:30,19.83,1,492,492,,Boeing 787 | Airbus A321neo,1,AUH (105m),Found on 2026-04-16
IAD,CGK,One way,Etihad,15:10,09:00,30.83,1,529,529,,Boeing 787 | Boeing 777,1,AUH (550m),Found on 2026-04-16
IAD,CMB,One way,Etihad,15:10,20:35,19.92,1,443,443,,Boeing 787 | Airbus A320,1,AUH (130m),Found on 2026-04-16
IAD,CMN,One way,Tap Air Portugal,22:35,16:20,12.75,9,564,710.33,,Airbus A321neo | Embraer 195,1,LIS (235m),Found on 2026-04-18 (Round 2)
IAD,CNX,One way,Etihad | Bangkok Airways,15:10,09:20,31.17,2,1198,1198,,Boeing 787 | Airbus A319,2,AUH (520m) | BKK (90m),Found on 2026-04-16
IAD,COK,One way,Etihad,15:10,20:00,19.33,3,366,787.33,,Boeing 787 | Airbus A321neo,1,AUH (130m),Found on 2026-04-16
IAD,DBB,,,,,,,,,,,,,No Etihad flights found within 1 day window (Attempted 60 days out)
IAD,DMM,One way,Etihad,15:10,14:55,16.75,1,579,579,,Boeing 787 | Airbus A320,1,AUH (135m),Found on 2026-04-16
IAD,DOH,One way,Etihad,15:10,16:40,18.5,1,545,545,,Boeing 787 | Airbus A320,1,AUH (260m),Found on 2026-04-16
IAD,ELQ,One way,Etihad | Flynas,15:10,13:50,39.67,3,6306,6306,,Boeing 787 | Airbus A321neo | Airbus A320,2,AUH (510m) | DMM (915m),Found on 2026-04-16
IAD,HAN,One way,Etihad,15:10,06:40,28.5,1,946,946,,Boeing 787 | Boeing 787-10,1,AUH (530m),Found on 2026-04-16
IAD,HKG,One way,Etihad,15:10,09:00,29.83,1,1712,1712,,Boeing 787,1,AUH (535m),Found on 2026-04-16
IAD,HKT,One way,Etihad,15:10,23:55,21.75,1,615,615,,Boeing 787 | Airbus A321neo,1,AUH (110m),Found on 2026-04-16
IAD,HYD,One way,Etihad,15:10,19:40,19.0,1,352,352,,Boeing 787 | Airbus A321,1,AUH (125m),Found on 2026-04-16
IAD,ICN,One way,Etihad,15:10,10:50,30.67,1,956,956,,Boeing 787,1,AUH (535m),Found on 2026-04-16
IAD,ISB,One way,Etihad,15:10,18:25,18.25,1,340,340,,Boeing 787 | Airbus A321,1,AUH (120m),Found on 2026-04-16
IAD,IST,One way,Etihad,15:10,12:35,38.42,2,628,992.5,,Boeing 787 | Airbus A320,1,AUH (1225m),Found on 2026-04-16
IAD,JAI,One way,Etihad,15:10,19:35,18.92,1,428,428,,Boeing 787 | Airbus A320,1,AUH (140m),Found on 2026-04-16
IAD,JED,One way,Etihad,15:10,16:10,18.0,3,428,628,,Boeing 787 | Airbus A320,1,AUH (120m),Found on 2026-04-16
IAD,JNB,One way,Etihad,15:10,08:15,35.08,1,544,544,,Boeing 787,1,AUH (830m),Found on 2026-04-16
IAD,KBV,One way,Etihad,15:10,06:30,28.33,1,968,968,,Boeing 787 | Airbus A321neo,1,AUH (515m),Found on 2026-04-16
IAD,KHI,One way,Etihad,15:10,17:50,17.67,1,381,381,,Boeing 787 | Airbus A320,1,AUH (135m),Found on 2026-04-16
IAD,KIX,One way,Etihad,15:10,11:50,31.67,1,1240,1240,,Boeing 787,1,AUH (535m),Found on 2026-04-17
IAD,KNO,One way,Etihad,15:10,07:05,52.92,3,1382,1607,,Boeing 787 | Airbus A321neo,1,AUH (1960m),Found on 2026-04-16
IAD,KUL,One way,Etihad,15:10,08:25,29.25,1,570,570,,Boeing 787,1,AUH (525m),Found on 2026-04-16
IAD,KWI,One way,Etihad,15:10,14:50,16.67,1,511,511,,Boeing 787 | Airbus A320,1,AUH (110m),Found on 2026-04-16
IAD,LED,One way,Etihad,15:10,08:35,34.42,1,1733,1733,,Boeing 787 | Airbus A321neo,1,AUH (880m),Found on 2026-04-16
IAD,LHE,One way,Etihad,15:10,18:25,18.25,1,410,410,,Boeing 787 | Airbus A320,1,AUH (115m),Found on 2026-04-16
IAD,MAA,One way,Etihad,15:10,20:10,19.5,2,368,368,,Boeing 787 | Airbus A320neo,1,AUH (125m),Found on 2026-04-16
IAD,MCT,One way,Etihad,15:10,17:40,18.5,1,650,650,,Boeing 787 | Airbus A320,1,AUH (260m),Found on 2026-04-16
IAD,MEL,One way,Etihad,15:10,15:50,34.67,1,1507,1507,,Boeing 787,1,AUH (505m),Found on 2026-04-16
IAD,MLE,One way,Etihad,15:10,05:15,29.08,1,635,635,,Boeing 787,1,AUH (700m),Found on 2026-04-16
IAD,MNL,One way,Etihad,15:10,11:05,31.92,1,739,739,,Boeing 787 | Airbus A330,1,AUH (570m),Found on 2026-04-16
IAD,NBO,One way,Etihad,15:10,00:35,26.42,1,441,441,,Boeing 787 | Airbus A320,1,AUH (495m),Found on 2026-04-16
IAD,NRT,One way,Etihad,15:10,12:35,32.42,1,1227,1227,,Boeing 787 | Airbus A350,1,AUH (550m),Found on 2026-04-16
IAD,PEW,One way,Etihad,15:10,06:50,30.67,1,494,494,,Boeing 787 | Airbus A320,1,AUH (870m),Found on 2026-04-16
IAD,PKX,One way,Etihad,15:10,09:00,29.83,1,636,636,,Boeing 787,1,AUH (515m),Found on 2026-04-16
IAD,KTI,One way,Etihad,15:10,07:10,29.0,1,1148,1148,,Boeing 787 | Airbus A321neo,1,AUH (505m),Found on 2026-05-17 (Round 2)
IAD,PVG,One way,Etihad | China Eastern,15:10,12:55,33.75,1,705,705,,Boeing 787 | Airbus A330,1,AUH (665m),Found on 2026-04-16
IAD,RUH,One way,Etihad,15:10,15:15,17.08,2,355,555,,Boeing 787 | Airbus A321neo,1,AUH (125m),Found on 2026-04-16
IAD,SEZ,One way,Etihad | Air Seychelles,15:10,12:20,37.17,2,672,807,,Boeing 787 | Airbus A320neo,1,AUH (1170m),Found on 2026-04-16
IAD,SVO,One way,Etihad,15:10,07:35,33.42,2,860,1948,,Boeing 787 | Boeing 787-10,1,AUH (875m),Found on 2026-04-16
IAD,SYD,One way,Etihad,15:10,16:50,35.67,1,953,953,,Boeing 787 | Airbus A350,1,AUH (530m),Found on 2026-04-16
IAD,TPE,One way,Etihad,15:10,10:00,30.83,1,956,956,,Boeing 787,1,AUH (545m),Found on 2026-04-16
IAD,TRV,One way,Etihad,15:10,02:50,26.17,2,416,794.5,,Boeing 787 | Airbus A320,1,AUH (520m),Found on 2026-04-16
IAD,TUN,One way,Turkish Airlines,13:20,09:00,14.67,8,696,963,,Boeing 787 | Boeing 737,1,IST (115m),Found on 2026-04-18 (Round 2)
IAD,MED,One way,Etihad,15:10,10:20,36.17,2,574,3661.5,,Boeing 787 | Airbus A321,1,AUH (1230m),Found on 2026-04-16
IAD,SLL,One way,Etihad | Oman Air,15:10,21:15,22.08,1,800,800,,Boeing 787 | Airbus A320 | Boeing 737,2,AUH (260m) | MCT (120m),Found on 2026-04-16
IAD,TLV,One way,Etihad,15:10,16:50,18.67,1,2295,2295,,Boeing 787 | Airbus A321neo,1,AUH (130m),Found on 2026-04-16
